FOV Name,C1,C2,C3,C4,Mean,SD
X10_Y10,236,276,233,193,234.5,29.364093720052047
X10_Y11,312,287,315,263,294.25,21.063890903629368
X10_Y12,361,388,397,367,378.25,14.7542366796795
X10_Y13,349,347,349,363,352.0,6.4031242374328485
X10_Y14,226,258,297,266,261.75,25.262373206015305
X10_Y15,256,266,264,276,265.5,7.123903424387503
X10_Y2,226,210,235,210,220.25,10.732543966832841
X10_Y3,235,246,226,219,231.5,10.111874208078342
X10_Y4,280,329,365,258,308.0,41.75523919222593
X10_Y5,343,357,335,334,342.25,9.202581159652981
X10_Y6,345,379,361,356,360.25,12.275483697190918
X10_Y7,306,334,355,345,335.0,18.3166590840142
X10_Y8,374,353,328,326,345.25,19.715159142142372
X10_Y9,352,368,362,331,353.25,14.060138690638865
X11_Y1,131,89,138,148,126.5,22.477766792989023
X11_Y10,155,184,171,207,179.25,19.031224343168255
X11_Y11,296,250,271,303,280.0,21.011901389450696
X11_Y12,322,294,264,270,287.5,22.863726730347352
X11_Y13,296,231,252,246,256.25,24.190649019817553
X11_Y14,306,241,249,287,270.75,26.76167969317322
X11_Y15,301,255,265,283,276.0,17.578395831246947
X11_Y2,285,222,195,289,247.75,40.41890028192257
X11_Y3,291,303,261,316,292.75,20.351596988934308
X11_Y4,252,306,226,311,273.75,35.9887135085432
X11_Y5,335,256,211,332,283.5,52.48094892434778
X11_Y6,341,155,275,338,277.25,75.34047716865085
X11_Y7,344,261,278,341,306.0,37.006756139926665
X11_Y8,259,307,265,328,289.75,28.80429655450728
X11_Y9,267,220,265,277,257.25,21.98152633462927
X12_Y0,106,119,114,126,116.25,7.292976072907411
X12_Y1,264,285,253,258,265.0,12.186057606953941
X12_Y10,193,204,207,187,197.75,8.104782538723663
X12_Y11,200,210,209,260,219.75,23.562417108607512
X12_Y12,226,222,212,202,215.5,9.313968005098578
X12_Y13,218,204,197,186,201.25,11.60549438843516
X12_Y14,213,226,135,195,192.25,34.838018026288466
X12_Y15,279,251,141,232,225.75,51.70771219073611
X12_Y2,253,264,252,227,249.0,13.546217184144066
X12_Y3,226,247,255,241,242.25,10.615436872781073
X12_Y4,276,301,306,297,295.0,11.423659658795863
X12_Y5,238,265,278,278,264.75,16.330569494050106
X12_Y6,304,302,324,266,299.0,20.904544960366874
X12_Y7,326,339,348,289,325.5,22.477766792989023
X12_Y8,299,349,357,340,336.25,22.331312097590683
X12_Y9,275,283,270,272,275.0,4.949747468305833
X13_Y0,122,97,76,126,105.25,20.216020874544032
X13_Y1,322,277,257,300,289.0,24.38237068047322
X13_Y10,288,246,260,212,251.5,27.363296585024255
X13_Y11,327,315,288,276,301.5,20.402205763103165
X13_Y12,290,249,303,318,290.0,25.66125484071268
X13_Y13,232,261,268,300,265.25,24.180312239505923
X13_Y14,201,241,273,300,253.75,36.92813967694555
X13_Y15,192,217,237,234,220.0,17.874562931719478
X13_Y2,288,219,237,222,241.5,27.69927796892908
X13_Y3,250,254,247,198,237.25,22.796655456447994
X13_Y4,363,238,287,326,303.5,46.39234850705448
X13_Y5,376,325,323,367,347.75,23.972640655547316
X13_Y6,281,311,266,366,306.0,38.242646351945886
