fov,gene,count
X10_Y10,Adra1b,18
X10_Y10,Atp1a2,16
X10_Y10,Atp2b4,16
X10_Y10,Bcl11b,26
X10_Y10,Car2,4
X10_Y10,Cdh20,2
X10_Y10,Cdh9,2
X10_Y10,Coch,1
X10_Y10,Col12a1,1
X10_Y10,Cryab,4
X10_Y10,Crym,1
X10_Y10,Cux2,10
X10_Y10,Flt1,8
X10_Y10,Foxp2,1
X10_Y10,Gapdh,142
X10_Y10,Grin3a,6
X10_Y10,Igf1,1
X10_Y10,Igfbp7,1
X10_Y10,Inpp4b,2
X10_Y10,Itm2a,2
X10_Y10,Luzp2,6
X10_Y10,Lypd1,2
X10_Y10,Nek7,1
X10_Y10,Npy,12
X10_Y10,Nr4a2,4
X10_Y10,Nxph1,1
X10_Y10,Pdlim1,1
X10_Y10,Pld5,2
X10_Y10,Plpp4,1
X10_Y10,Pou3f1,8
X10_Y10,Reln,6
X10_Y10,Rorb,4
X10_Y10,Rprml,6
X10_Y10,Spon1,14
X10_Y10,Sstr1,10
X10_Y10,Tgtp1,1
X10_Y10,Thsd7a,1
X10_Y10,Zfp804b,1
X10_Y10,invalid,480
X10_Y11,Adra1b,50
X10_Y11,Atp1a2,28
X10_Y11,Atp2b4,35
X10_Y11,Bcl11b,78
X10_Y11,Car2,4
X10_Y11,Car4,1
X10_Y11,Cdh9,7
X10_Y11,Chn2,3
X10_Y11,Coch,3
X10_Y11,Col12a1,2
X10_Y11,Crh,1
X10_Y11,Cryab,9
X10_Y11,Crym,4
X10_Y11,Cux2,25
X10_Y11,Dlx6os1,4
X10_Y11,Flt1,22
X10_Y11,Foxp2,2
X10_Y11,Gapdh,458
X10_Y11,Grin3a,35
X10_Y11,Igfbp7,1
X10_Y11,Inpp4b,7
X10_Y11,Itm2a,4
X10_Y11,Lgals1,2
X10_Y11,Luzp2,17
X10_Y11,Lypd1,15
X10_Y11,Nek7,1
X10_Y11,Nell1,4
X10_Y11,Npy,4
X10_Y11,Nr4a2,7
X10_Y11,Nxph1,2
X10_Y11,Pdlim1,1
X10_Y11,Penk,1
X10_Y11,Pld5,1
X10_Y11,Pou3f1,6
X10_Y11,Prss23,4
X10_Y11,Reln,8
X10_Y11,Rorb,29
X10_Y11,Rprml,11
X10_Y11,Spon1,31
X10_Y11,Sstr1,16
X10_Y11,Tgtp1,1
X10_Y11,Thsd7a,5
X10_Y11,Tmem163,10
X10_Y11,Zdhhc12,1
X10_Y11,Zfp804b,1
X10_Y11,Zfpm2,2
X10_Y11,invalid,359
X10_Y12,Adra1b,38
X10_Y12,Atp1a2,16
X10_Y12,Atp2b4,66
X10_Y12,Bcl11b,57
X10_Y12,Car2,1
X10_Y12,Car4,1
X10_Y12,Cdh9,6
X10_Y12,Chn2,3
X10_Y12,Coch,1
X10_Y12,Col12a1,2
X10_Y12,Crh,2
X10_Y12,Cryab,6
X10_Y12,Crym,4
X10_Y12,Cux2,6
X10_Y12,Dlx6os1,4
X10_Y12,Flt1,9
X10_Y12,Foxp2,2
X10_Y12,Gapdh,262
X10_Y12,Grin3a,42
X10_Y12,Igf1,3
X10_Y12,Inpp4b,2
X10_Y12,Itm2a,2
X10_Y12,Lgals1,2
X10_Y12,Luzp2,6
X10_Y12,Lypd1,15
X10_Y12,Nek7,3
X10_Y12,Nell1,2
X10_Y12,Npy,14
X10_Y12,Nr4a2,13
X10_Y12,Nxph1,5
X10_Y12,Pdlim1,1
X10_Y12,Penk,2
X10_Y12,Pld5,3
X10_Y12,Pou3f1,1
X10_Y12,Prss23,3
X10_Y12,Reln,4
X10_Y12,Rorb,26
X10_Y12,Rprml,9
X10_Y12,Spon1,34
X10_Y12,Sstr1,9
X10_Y12,Thsd7a,2
X10_Y12,Tmem163,6
X10_Y12,Zdhhc12,6
X10_Y12,invalid,654
X10_Y13,Adra1b,85
X10_Y13,Atp1a2,22
X10_Y13,Atp2b4,89
X10_Y13,Bcl11b,91
X10_Y13,Car2,2
X10_Y13,Car4,8
X10_Y13,Cdh20,3
X10_Y13,Cdh9,18
X10_Y13,Chn2,2
X10_Y13,Coch,1
X10_Y13,Col12a1,2
X10_Y13,Crh,4
X10_Y13,Cryab,7
X10_Y13,Crym,9
X10_Y13,Cux2,16
X10_Y13,Dlx6os1,9
X10_Y13,Flt1,10
X10_Y13,Foxp2,3
X10_Y13,Gapdh,482
X10_Y13,Grin3a,70
X10_Y13,Inpp4b,11
X10_Y13,Itm2a,4
X10_Y13,Lgals1,1
X10_Y13,Luzp2,3
X10_Y13,Lypd1,19
X10_Y13,Nek7,3
X10_Y13,Nell1,2
X10_Y13,Npy,13
X10_Y13,Nr4a2,18
X10_Y13,Nxph1,2
X10_Y13,Penk,3
X10_Y13,Pou3f1,3
