image name,nuclei counted 
out_opt_flow_registered_X19_Y14_c02_DAPI.tif,25
out_opt_flow_registered_X19_Y14_c03_DAPI.tif,11
out_opt_flow_registered_X19_Y5_c03_DAPI.tif,254
out_opt_flow_registered_X19_Y5_c02_DAPI.tif,254
out_opt_flow_registered_X17_Y13_c04_DAPI.tif,316
out_opt_flow_registered_X14_Y13_c01_DAPI.tif,295
out_opt_flow_registered_X16_Y8_c04_DAPI.tif,304
out_opt_flow_registered_X17_Y1_c01_DAPI.tif,270
out_opt_flow_registered_X19_Y13_c02_DAPI.tif,301
out_opt_flow_registered_X19_Y13_c03_DAPI.tif,273
out_opt_flow_registered_X19_Y2_c03_DAPI.tif,219
out_opt_flow_registered_X14_Y14_c01_DAPI.tif,235
out_opt_flow_registered_X19_Y2_c02_DAPI.tif,239
out_opt_flow_registered_X17_Y14_c04_DAPI.tif,286
out_opt_flow_registered_X17_Y6_c01_DAPI.tif,339
out_opt_flow_registered_X16_Y15_c02_DAPI.tif,167
out_opt_flow_registered_X15_Y2_c01_DAPI.tif,289
out_opt_flow_registered_X16_Y15_c03_DAPI.tif,162
out_opt_flow_registered_X18_Y2_c04_DAPI.tif,268
out_opt_flow_registered_X18_Y12_c04_DAPI.tif,382
out_opt_flow_registered_X16_Y12_c02_DAPI.tif,217
out_opt_flow_registered_X15_Y5_c01_DAPI.tif,347
out_opt_flow_registered_X16_Y12_c03_DAPI.tif,218
out_opt_flow_registered_X17_Y8_c03_DAPI.tif,201
out_opt_flow_registered_X17_Y8_c02_DAPI.tif,242
out_opt_flow_registered_X18_Y5_c04_DAPI.tif,282
out_opt_flow_registered_X20_Y4_c01_DAPI.tif,229
out_opt_flow_registered_X10_Y4_c04_DAPI.tif,280
out_opt_flow_registered_X22_Y9_c02_DAPI.tif,225
out_opt_flow_registered_X11_Y10_c03_DAPI.tif,155
out_opt_flow_registered_X13_Y0_c03_DAPI.tif,122
out_opt_flow_registered_X22_Y9_c03_DAPI.tif,212
out_opt_flow_registered_X11_Y10_c02_DAPI.tif,184
out_opt_flow_registered_X13_Y0_c02_DAPI.tif,97
out_opt_flow_registered_X10_Y3_c04_DAPI.tif,235
out_opt_flow_registered_X20_Y3_c01_DAPI.tif,284
out_opt_flow_registered_X22_Y10_c01_DAPI.tif,94
out_opt_flow_registered_X21_Y10_c04_DAPI.tif,186
out_opt_flow_registered_X13_Y7_c03_DAPI.tif,367
out_opt_flow_registered_X13_Y7_c02_DAPI.tif,337
out_opt_flow_registered_X11_Y3_c02_DAPI.tif,291
out_opt_flow_registered_X11_Y3_c03_DAPI.tif,303
out_opt_flow_registered_X20_Y11_c03_DAPI.tif,390
out_opt_flow_registered_X12_Y7_c04_DAPI.tif,326
out_opt_flow_registered_X22_Y7_c01_DAPI.tif,223
out_opt_flow_registered_X20_Y11_c02_DAPI.tif,391
out_opt_flow_registered_X10_Y11_c04_DAPI.tif,312
out_opt_flow_registered_X13_Y11_c01_DAPI.tif,327
out_opt_flow_registered_X11_Y4_c02_DAPI.tif,252
out_opt_flow_registered_X11_Y4_c03_DAPI.tif,306
out_opt_flow_registered_X12_Y0_c04_DAPI.tif,106
out_opt_flow_registered_X13_Y9_c01_DAPI.tif,285
out_opt_flow_registered_X12_Y3_c01_DAPI.tif,226
out_opt_flow_registered_X22_Y3_c04_DAPI.tif,28
out_opt_flow_registered_X13_Y12_c04_DAPI.tif,290
out_opt_flow_registered_X10_Y12_c01_DAPI.tif,361
out_opt_flow_registered_X21_Y7_c02_DAPI.tif,228
out_opt_flow_registered_X21_Y7_c03_DAPI.tif,251
out_opt_flow_registered_X22_Y4_c04_DAPI.tif,129
out_opt_flow_registered_X12_Y4_c01_DAPI.tif,276
out_opt_flow_registered_X10_Y15_c01_DAPI.tif,256
out_opt_flow_registered_X13_Y15_c04_DAPI.tif,192
out_opt_flow_registered_X10_Y9_c03_DAPI.tif,352
out_opt_flow_registered_X10_Y9_c02_DAPI.tif,368
out_opt_flow_registered_X12_Y14_c03_DAPI.tif,213
out_opt_flow_registered_X23_Y4_c03_DAPI.tif,8
out_opt_flow_registered_X12_Y14_c02_DAPI.tif,226
out_opt_flow_registered_X23_Y4_c02_DAPI.tif,11
out_opt_flow_registered_X21_Y9_c01_DAPI.tif,280
out_opt_flow_registered_X11_Y9_c04_DAPI.tif,267
out_opt_flow_registered_X12_Y13_c03_DAPI.tif,218
out_opt_flow_registered_X12_Y13_c02_DAPI.tif,204
out_opt_flow_registered_X10_Y7_c01_DAPI.tif,306
out_opt_flow_registered_X20_Y7_c04_DAPI.tif,255
out_opt_flow_registered_X16_Y2_c02_DAPI.tif,275
out_opt_flow_registered_X16_Y2_c03_DAPI.tif,304
out_opt_flow_registered_X18_Y6_c01_DAPI.tif,336
out_opt_flow_registered_X15_Y6_c04_DAPI.tif,236
out_opt_flow_registered_X15_Y11_c02_DAPI.tif,548
out_opt_flow_registered_X15_Y11_c03_DAPI.tif,0
out_opt_flow_registered_X16_Y5_c02_DAPI.tif,312
out_opt_flow_registered_X16_Y5_c03_DAPI.tif,327
out_opt_flow_registered_X18_Y1_c01_DAPI.tif,154
out_opt_flow_registered_X19_Y8_c04_DAPI.tif,224
out_opt_flow_registered_X18_Y11_c01_DAPI.tif,196
out_opt_flow_registered_X15_Y1_c04_DAPI.tif,232
out_opt_flow_registered_X14_Y8_c01_DAPI.tif,319
out_opt_flow_registered_X18_Y8_c02_DAPI.tif,228
out_opt_flow_registered_X18_Y8_c03_DAPI.tif,252
out_opt_flow_registered_X17_Y5_c04_DAPI.tif,312
out_opt_flow_registered_X14_Y1_c03_DAPI.tif,275
out_opt_flow_registered_X14_Y1_c02_DAPI.tif,272
out_opt_flow_registered_X14_Y10_c04_DAPI.tif,269
out_opt_flow_registered_X17_Y10_c01_DAPI.tif,245
out_opt_flow_registered_X17_Y2_c04_DAPI.tif,237
out_opt_flow_registered_X14_Y6_c03_DAPI.tif,333
out_opt_flow_registered_X14_Y6_c02_DAPI.tif,339
out_opt_flow_registered_X13_Y6_c02_DAPI.tif,281
out_opt_flow_registered_X13_Y6_c03_DAPI.tif,311
out_opt_flow_registered_X20_Y2_c01_DAPI.tif,92
out_opt_flow_registered_X10_Y2_c04_DAPI.tif,226
out_opt_flow_registered_X21_Y11_c04_DAPI.tif,201
out_opt_flow_registered_X11_Y11_c02_DAPI.tif,296
out_opt_flow_registered_X13_Y1_c02_DAPI.tif,322
out_opt_flow_registered_X22_Y8_c03_DAPI.tif,208
out_opt_flow_registered_X11_Y11_c03_DAPI.tif,250
out_opt_flow_registered_X13_Y1_c03_DAPI.tif,277
out_opt_flow_registered_X22_Y8_c02_DAPI.tif,183
out_opt_flow_registered_X10_Y5_c04_DAPI.tif,343
out_opt_flow_registered_X20_Y5_c01_DAPI.tif,242
out_opt_flow_registered_X13_Y8_c01_DAPI.tif,338
out_opt_flow_registered_X23_Y8_c04_DAPI.tif,53
out_opt_flow_registered_X12_Y1_c04_DAPI.tif,264
out_opt_flow_registered_X13_Y10_c01_DAPI.tif,288
out_opt_flow_registered_X10_Y10_c04_DAPI.tif,236
out_opt_flow_registered_X11_Y5_c03_DAPI.tif,335
out_opt_flow_registered_X11_Y5_c02_DAPI.tif,256
out_opt_flow_registered_X20_Y10_c02_DAPI.tif,162
out_opt_flow_registered_X22_Y6_c01_DAPI.tif,275
out_opt_flow_registered_X12_Y6_c04_DAPI.tif,304
out_opt_flow_registered_X20_Y10_c03_DAPI.tif,164
out_opt_flow_registered_X11_Y2_c03_DAPI.tif,285
out_opt_flow_registered_X11_Y2_c02_DAPI.tif,222
out_opt_flow_registered_X17_Y15_c04_DAPI.tif,10
out_opt_flow_registered_X19_Y3_c02_DAPI.tif,256
out_opt_flow_registered_X14_Y15_c01_DAPI.tif,280
out_opt_flow_registered_X19_Y3_c03_DAPI.tif,227
out_opt_flow_registered_X17_Y7_c01_DAPI.tif,294
out_opt_flow_registered_X19_Y12_c03_DAPI.tif,240
out_opt_flow_registered_X19_Y12_c02_DAPI.tif,291
out_opt_flow_registered_X14_Y12_c01_DAPI.tif,328
out_opt_flow_registered_X17_Y12_c04_DAPI.tif,190
out_opt_flow_registered_X19_Y4_c02_DAPI.tif,228
out_opt_flow_registered_X19_Y4_c03_DAPI.tif,242
out_opt_flow_registered_X17_Y0_c01_DAPI.tif,71
out_opt_flow_registered_X16_Y9_c04_DAPI.tif,255
out_opt_flow_registered_X17_Y9_c02_DAPI.tif,222
out_opt_flow_registered_X17_Y9_c03_DAPI.tif,183
out_opt_flow_registered_X18_Y14_c04_DAPI.tif,13
out_opt_flow_registered_X18_Y4_c04_DAPI.tif,211
out_opt_flow_registered_X16_Y13_c03_DAPI.tif,319
out_opt_flow_registered_X15_Y4_c01_DAPI.tif,335
out_opt_flow_registered_X16_Y13_c02_DAPI.tif,336
out_opt_flow_registered_X18_Y13_c04_DAPI.tif,326
out_opt_flow_registered_X18_Y3_c04_DAPI.tif,212
out_opt_flow_registered_X16_Y14_c03_DAPI.tif,200
out_opt_flow_registered_X15_Y3_c01_DAPI.tif,216
out_opt_flow_registered_X16_Y14_c02_DAPI.tif,188
out_opt_flow_registered_X14_Y9_c01_DAPI.tif,242
out_opt_flow_registered_X15_Y0_c04_DAPI.tif,98
out_opt_flow_registered_X16_Y4_c03_DAPI.tif,308
out_opt_flow_registered_X16_Y4_c02_DAPI.tif,290
out_opt_flow_registered_X18_Y10_c01_DAPI.tif,262
out_opt_flow_registered_X19_Y9_c04_DAPI.tif,199
out_opt_flow_registered_X15_Y10_c03_DAPI.tif,232
out_opt_flow_registered_X15_Y10_c02_DAPI.tif,233
out_opt_flow_registered_X15_Y7_c04_DAPI.tif,333
out_opt_flow_registered_X16_Y3_c03_DAPI.tif,251
out_opt_flow_registered_X16_Y3_c02_DAPI.tif,255
out_opt_flow_registered_X18_Y7_c01_DAPI.tif,262
out_opt_flow_registered_X14_Y7_c02_DAPI.tif,384
out_opt_flow_registered_X14_Y7_c03_DAPI.tif,364
out_opt_flow_registered_X17_Y11_c01_DAPI.tif,235
out_opt_flow_registered_X14_Y11_c04_DAPI.tif,369
out_opt_flow_registered_X17_Y3_c04_DAPI.tif,215
out_opt_flow_registered_X14_Y0_c02_DAPI.tif,120
out_opt_flow_registered_X14_Y0_c03_DAPI.tif,112
out_opt_flow_registered_X14_Y16_c04_DAPI.tif,45
out_opt_flow_registered_X18_Y9_c03_DAPI.tif,219
out_opt_flow_registered_X18_Y9_c02_DAPI.tif,226
out_opt_flow_registered_X17_Y4_c04_DAPI.tif,194
out_opt_flow_registered_X13_Y14_c04_DAPI.tif,201
out_opt_flow_registered_X10_Y14_c01_DAPI.tif,226
out_opt_flow_registered_X10_Y8_c02_DAPI.tif,374
out_opt_flow_registered_X10_Y8_c03_DAPI.tif,353
out_opt_flow_registered_X12_Y5_c01_DAPI.tif,238
out_opt_flow_registered_X22_Y5_c04_DAPI.tif,290
out_opt_flow_registered_X10_Y13_c01_DAPI.tif,349
out_opt_flow_registered_X13_Y13_c04_DAPI.tif,232
out_opt_flow_registered_X21_Y6_c03_DAPI.tif,248
out_opt_flow_registered_X21_Y6_c02_DAPI.tif,252
out_opt_flow_registered_X12_Y2_c01_DAPI.tif,253
out_opt_flow_registered_X20_Y6_c04_DAPI.tif,224
out_opt_flow_registered_X10_Y6_c01_DAPI.tif,345
out_opt_flow_registered_X12_Y12_c02_DAPI.tif,226
out_opt_flow_registered_X12_Y12_c03_DAPI.tif,222
out_opt_flow_registered_X11_Y8_c04_DAPI.tif,259
out_opt_flow_registered_X21_Y8_c01_DAPI.tif,309
out_opt_flow_registered_X21_Y12_c01_DAPI.tif,145
out_opt_flow_registered_X12_Y15_c02_DAPI.tif,279
out_opt_flow_registered_X23_Y5_c02_DAPI.tif,52
out_opt_flow_registered_X12_Y15_c03_DAPI.tif,251
out_opt_flow_registered_X23_Y5_c03_DAPI.tif,38
out_opt_flow_registered_X12_Y8_c01_DAPI.tif,299
out_opt_flow_registered_X22_Y8_c04_DAPI.tif,158
out_opt_flow_registered_X13_Y1_c04_DAPI.tif,257
out_opt_flow_registered_X11_Y11_c04_DAPI.tif,271
out_opt_flow_registered_X12_Y11_c01_DAPI.tif,200
out_opt_flow_registered_X10_Y5_c03_DAPI.tif,357
out_opt_flow_registered_X10_Y5_c02_DAPI.tif,335
out_opt_flow_registered_X23_Y6_c01_DAPI.tif,58
out_opt_flow_registered_X13_Y6_c04_DAPI.tif,266
out_opt_flow_registered_X10_Y2_c03_DAPI.tif,210
out_opt_flow_registered_X10_Y2_c02_DAPI.tif,235
out_opt_flow_registered_X21_Y11_c02_DAPI.tif,246
out_opt_flow_registered_X21_Y11_c03_DAPI.tif,218
out_opt_flow_registered_X12_Y6_c02_DAPI.tif,302
out_opt_flow_registered_X20_Y10_c04_DAPI.tif,170
out_opt_flow_registered_X12_Y6_c03_DAPI.tif,324
out_opt_flow_registered_X21_Y2_c01_DAPI.tif,28
out_opt_flow_registered_X11_Y2_c04_DAPI.tif,195
out_opt_flow_registered_X12_Y1_c02_DAPI.tif,285
out_opt_flow_registered_X23_Y8_c03_DAPI.tif,44
out_opt_flow_registered_X12_Y1_c03_DAPI.tif,253
out_opt_flow_registered_X23_Y8_c02_DAPI.tif,53
out_opt_flow_registered_X10_Y10_c02_DAPI.tif,276
out_opt_flow_registered_X10_Y10_c03_DAPI.tif,233
out_opt_flow_registered_X11_Y5_c04_DAPI.tif,211
out_opt_flow_registered_X21_Y5_c01_DAPI.tif,337
out_opt_flow_registered_X17_Y12_c03_DAPI.tif,208
out_opt_flow_registered_X19_Y4_c04_DAPI.tif,209
out_opt_flow_registered_X17_Y12_c02_DAPI.tif,209
out_opt_flow_registered_X16_Y9_c02_DAPI.tif,273
out_opt_flow_registered_X16_Y9_c03_DAPI.tif,285
out_opt_flow_registered_X14_Y4_c01_DAPI.tif,349
out_opt_flow_registered_X17_Y15_c03_DAPI.tif,105
out_opt_flow_registered_X19_Y3_c04_DAPI.tif,255
out_opt_flow_registered_X17_Y15_c02_DAPI.tif,123
out_opt_flow_registered_X19_Y12_c04_DAPI.tif,286
